,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:03,4.1,-0.020000000000000462,10,4100,бРел
1,09:30:03,4.12,0.020000000000000462,15,6180,бРел
2,09:30:06,4.12,0.0,6,2472,бТел
3,09:30:09,4.13,0.009999999999999787,17,7021,бРел
4,09:30:12,4.12,-0.009999999999999787,1,412,бТел
5,09:30:15,4.12,0.0,1,412,бТел
6,09:30:45,4.11,-0.009999999999999787,24,9864,бТел
7,09:30:48,4.11,0.0,2,822,бТел
8,09:31:03,4.11,0.0,8,3288,бТел
9,09:31:06,4.11,0.0,1,411,бТел
10,09:31:12,4.11,0.0,1,411,бТел
11,09:31:36,4.11,0.0,30,12330,бТел
12,09:31:39,4.11,0.0,21,8631,бТел
13,09:31:42,4.11,0.0,32,13152,бТел
14,09:31:45,4.11,0.0,12,4932,бТел
15,09:31:51,4.11,0.0,7,2877,бТел
16,09:31:54,4.1,-0.010000000000000675,24,9863,бТел
17,09:31:57,4.1,0.0,2,820,бТел
18,09:32:00,4.11,0.010000000000000675,1,411,бРел
19,09:32:45,4.11,0.0,20,8220,бТел
20,09:32:51,4.11,0.0,2,822,бТел
21,09:33:24,4.11,0.0,20,8220,бТел
22,09:33:27,4.11,0.0,7,2877,бТел
23,09:33:30,4.11,0.0,1,411,бТел
24,09:33:54,4.11,0.0,4,1644,бТел
25,09:33:57,4.11,0.0,1,411,бТел
26,09:34:03,4.12,0.009999999999999787,9,3708,бРел
27,09:34:06,4.11,-0.009999999999999787,1,411,бТел
28,09:34:09,4.11,0.0,55,22605,бТел
29,09:34:12,4.11,0.0,5,2055,бТел
30,09:34:15,4.11,0.0,1,411,бТел
31,09:34:30,4.11,0.0,10,4110,бТел
32,09:34:33,4.11,0.0,113,46443,бТел
33,09:34:36,4.11,0.0,35,14385,бТел
34,09:34:42,4.11,0.0,14,5754,бТел
35,09:34:45,4.11,0.0,3,1233,бТел
36,09:34:48,4.11,0.0,6,2466,бТел
37,09:35:18,4.12,0.009999999999999787,24,9888,бРел
38,09:35:21,4.11,-0.009999999999999787,3,1233,бТел
39,09:36:33,4.11,0.0,3,1233,бТел
40,09:36:39,4.11,0.0,77,31647,бТел
41,09:36:42,4.11,0.0,9,3699,бТел
42,09:36:45,4.11,0.0,1,411,бТел
43,09:36:51,4.11,0.0,1,411,бТел
44,09:37:51,4.11,0.0,10,4110,бТел
45,09:37:54,4.11,0.0,1,411,бТел
46,09:38:39,4.11,0.0,39,16029,бТел
47,09:38:51,4.11,0.0,16,6576,бТел
48,09:38:54,4.11,0.0,2,822,бТел
49,09:40:12,4.11,0.0,26,10686,бТел
50,09:40:15,4.11,0.0,9,3699,бРел
51,09:40:33,4.11,0.0,44,18115,бТел
52,09:40:36,4.11,0.0,5,2055,бТел
53,09:40:39,4.12,0.009999999999999787,30,12360,бРел
54,09:40:42,4.11,-0.009999999999999787,4,1644,бТел
55,09:41:54,4.11,0.0,10,4110,бТел
56,09:42:24,4.11,0.0,1,411,бТел
57,09:42:33,4.11,0.0,5,2055,бТел
58,09:42:36,4.11,0.0,2,822,бТел
59,09:42:48,4.11,0.0,81,33291,бТел
60,09:42:51,4.11,0.0,8,3288,бТел
61,09:42:57,4.12,0.009999999999999787,1,412,бРел
62,09:43:24,4.11,-0.009999999999999787,28,11508,бТел
63,09:43:27,4.1,-0.010000000000000675,4,1640,бТел
64,09:43:48,4.1,0.0,3,1230,бТел
65,09:43:51,4.1,0.0,49,20090,бТел
66,09:43:54,4.1,0.0,6,2460,бТел
67,09:43:57,4.11,0.010000000000000675,10,4110,бРел
68,09:44:39,4.11,0.0,19,7809,бРел
69,09:44:42,4.1,-0.010000000000000675,96,39360,бТел
70,09:44:45,4.1,0.0,10,4100,бТел
71,09:45:03,4.11,0.010000000000000675,686,281946,бРел
72,09:45:06,4.11,0.0,33,13563,бТел
73,09:45:21,4.11,0.0,4,1644,бТел
74,09:45:24,4.11,0.0,8,3288,бТел
75,09:46:00,4.11,0.0,10,4110,бТел
76,09:46:27,4.11,0.0,13,5343,бТел
77,09:46:30,4.12,0.009999999999999787,1,412,бРел
78,09:47:12,4.11,-0.009999999999999787,52,21372,бТел
79,09:47:15,4.11,0.0,21,8651,бТел
80,09:47:33,4.11,0.0,25,10275,бТел
81,09:47:36,4.11,0.0,21,8631,бРел
82,09:47:42,4.12,0.009999999999999787,996,410352,бРел
83,09:47:57,4.12,0.0,1,412,бТел
84,09:48:24,4.12,0.0,3,1236,бТел
85,09:48:27,4.12,0.0,14,5768,бРел
86,09:48:33,4.12,0.0,20,8240,бТел
87,09:48:45,4.12,0.0,1,412,бТел
88,09:49:42,4.13,0.009999999999999787,1,413,бРел
89,09:50:21,4.12,-0.009999999999999787,164,67568,бТел
90,09:50:30,4.11,-0.009999999999999787,200,82200,бТел
91,09:50:42,4.11,0.0,25,10275,бТел
92,09:50:54,4.11,0.0,60,24660,бТел
93,09:51:03,4.11,0.0,3,1233,бТел
94,09:51:06,4.11,0.0,2,822,бТел
95,09:52:18,4.11,0.0,40,16440,бТел
96,09:52:21,4.12,0.009999999999999787,144,59328,бРел
97,09:52:51,4.12,0.0,12,4944,бРел
98,09:52:57,4.12,0.0,2,824,бТел
99,09:53:03,4.12,0.0,3,1236,бТел
100,09:53:24,4.13,0.009999999999999787,6,2478,бРел
101,09:53:33,4.12,-0.009999999999999787,3,1236,бТел
102,09:53:36,4.12,0.0,5,2060,бТел
103,09:54:54,4.13,0.009999999999999787,2,826,бРел
104,09:55:27,4.12,-0.009999999999999787,3,1236,бТел
105,09:55:30,4.12,0.0,6,2472,бТел
106,09:57:00,4.12,0.0,2,824,бТел
107,09:58:24,4.12,0.0,13,5356,бТел
108,09:59:33,4.12,0.0,13,5356,бТел
109,09:59:45,4.12,0.0,100,41200,бТел
110,09:59:48,4.12,0.0,50,20600,бТел
111,10:00:18,4.13,0.009999999999999787,1,413,бРел
112,10:00:21,4.12,-0.009999999999999787,10,4120,бТел
113,10:00:24,4.12,0.0,26,10712,бТел
114,10:00:27,4.12,0.0,51,21012,бТел
115,10:00:30,4.12,0.0,11,4532,бТел
116,10:00:36,4.12,0.0,3,1236,бТел
117,10:00:42,4.12,0.0,3,1236,бТел
118,10:00:57,4.12,0.0,2,824,бТел
119,10:01:54,4.13,0.009999999999999787,7,2886,бРел
120,10:02:00,4.12,-0.009999999999999787,10,4120,бТел
121,10:02:03,4.12,0.0,4,1648,бТел
122,10:02:06,4.12,0.0,4,1648,бТел
123,10:02:09,4.12,0.0,4,1648,бТел
124,10:02:12,4.12,0.0,4,1648,бТел
125,10:02:15,4.12,0.0,4,1648,бТел
126,10:02:18,4.12,0.0,3,1236,бТел
127,10:02:54,4.12,0.0,1,412,бТел
128,10:02:57,4.12,0.0,8,3296,бТел
129,10:04:03,4.12,0.0,187,77044,бТел
130,10:04:06,4.12,0.0,170,70040,бТел
131,10:04:09,4.12,0.0,2,824,бТел
132,10:04:12,4.12,0.0,1,412,бТел
133,10:05:27,4.12,0.0,40,16480,бТел
134,10:05:36,4.12,0.0,72,29664,бТел
135,10:05:48,4.12,0.0,92,37904,бТел
136,10:06:00,4.12,0.0,12,4944,бРел
137,10:06:12,4.12,0.0,93,38316,бРел
138,10:06:15,4.12,0.0,6,2472,бРел
139,10:06:33,4.12,0.0,5,2060,бРел
140,10:06:39,4.12,0.0,21,8652,бРел
141,10:07:15,4.13,0.009999999999999787,1,413,бРел
142,10:09:21,4.13,0.0,38,15694,бРел
143,10:09:45,4.13,0.0,3,1239,бРел
144,10:10:21,4.13,0.0,70,28910,бРел
145,10:10:30,4.13,0.0,40,16520,бРел
146,10:10:33,4.13,0.0,92,37996,бРел
147,10:10:45,4.13,0.0,14,5782,бРел
148,10:10:48,4.12,-0.009999999999999787,3,1236,бТел
149,10:11:42,4.12,0.0,13,5356,бТел
150,10:12:21,4.13,0.009999999999999787,70,28910,бРел
151,10:12:39,4.13,0.0,3,1239,бРел
152,10:13:45,4.13,0.0,20,8260,бРел
153,10:13:54,4.13,0.0,40,16520,бРел
154,10:15:36,4.13,0.0,10,4130,бРел
155,10:15:57,4.13,0.0,1,413,бРел
156,10:16:09,4.13,0.0,34,14042,бРел
157,10:16:30,4.12,-0.009999999999999787,290,119480,бТел
158,10:17:24,4.12,0.0,20,8240,бТел
159,10:17:39,4.12,0.0,19,7828,бТел
160,10:18:06,4.12,0.0,13,5356,бТел
161,10:18:30,4.12,0.0,1,412,бТел
162,10:19:24,4.12,0.0,291,119892,бТел
163,10:19:33,4.12,0.0,19,7828,бТел
164,10:20:45,4.12,0.0,1,412,бТел
165,10:20:48,4.12,0.0,26,10712,бТел
166,10:20:51,4.12,0.0,3,1236,бТел
167,10:21:00,4.12,0.0,40,16480,бТел
168,10:21:03,4.12,0.0,2,824,бТел
169,10:21:06,4.12,0.0,7,2884,бТел
170,10:21:12,4.13,0.009999999999999787,20,8260,бРел
171,10:23:21,4.12,-0.009999999999999787,546,224952,бТел
172,10:23:24,4.12,0.0,61,25132,бТел
173,10:24:06,4.11,-0.009999999999999787,15,6165,бТел
174,10:24:42,4.11,0.0,10,4110,бТел
175,10:24:54,4.11,0.0,208,85488,бТел
