,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:25:03,2.23,-0.010000000000000231,1,223,买盘
1,09:31:24,2.24,0.010000000000000231,1,224,买盘
2,09:57:51,2.27,0.029999999999999805,20,4539,买盘
3,10:24:15,2.26,-0.010000000000000231,61,13786,买盘
4,10:25:30,2.27,0.010000000000000231,100,22700,买盘
5,10:32:27,2.26,-0.010000000000000231,9,2034,卖盘
6,10:34:24,2.25,-0.009999999999999787,10,2250,卖盘
7,11:28:45,2.26,0.009999999999999787,10,2260,买盘
8,13:00:06,2.25,-0.009999999999999787,10,2250,卖盘
9,13:06:54,2.25,0.0,30,6750,卖盘
10,13:12:57,2.26,0.009999999999999787,15,3390,买盘
11,13:17:21,2.26,0.0,10,2260,买盘
12,13:45:57,2.26,0.0,2,452,买盘
13,13:58:39,2.26,0.0,13,2938,买盘
14,14:21:09,2.26,0.0,27,6102,卖盘
15,14:46:30,2.26,0.0,46,10396,买盘
16,14:51:03,2.26,0.0,10,2260,卖盘
17,14:51:24,2.26,0.0,10,2260,卖盘
18,14:55:45,2.27,0.010000000000000231,9,2043,买盘
19,14:56:48,2.27,0.0,200,45400,买盘
20,15:00:06,2.26,-0.010000000000000231,11,2486,卖盘
