,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:07,8.54,0.019999999999999574,37,31598,бРел
1,09:30:01,8.52,-0.019999999999999574,29,24709,бТел
2,09:30:05,8.54,0.019999999999999574,174,148456,бРел
3,09:30:14,8.54,0.0,9,7686,бРел
4,09:30:19,8.54,0.0,15,12810,бРел
5,09:30:26,8.55,0.010000000000001563,27,23085,бРел
6,09:30:30,8.55,0.0,47,40185,бРел
7,09:30:39,8.54,0.0,18,15388,бТел
8,09:30:41,8.56,0.02000000000000135,26,22246,бРел
9,09:30:47,8.56,0.02000000000000135,8,6848,бРел
10,09:30:59,8.56,0.0,8,6848,бРел
11,09:31:05,8.56,0.0,70,59920,бРел
12,09:31:11,8.56,0.0,7,5992,бРел
13,09:31:17,8.56,0.0,80,68480,бРел
14,09:31:20,8.56,0.0,29,24824,бРел
15,09:31:28,8.56,0.0,74,63344,бТел
16,09:31:32,8.57,0.009999999999999787,27,23119,бРел
17,09:31:39,8.56,-0.009999999999999787,10,8560,бТел
18,09:31:41,8.56,0.0,50,42800,бТел
19,09:31:47,8.57,0.0,42,35984,бРел
20,09:31:50,8.57,0.0,2,1713,бРел
21,09:31:59,8.57,0.0,82,70274,бРел
22,09:32:02,8.57,0.0,18,15426,бТел
23,09:32:05,8.57,0.0,9,7713,бРел
24,09:32:11,8.57,0.0,17,14569,бРел
25,09:32:17,8.57,0.0,9,7713,бРел
26,09:32:26,8.57,0.0,17,14559,бРел
27,09:32:32,8.56,-0.009999999999999787,30,25680,бТел
28,09:32:35,8.57,0.009999999999999787,18,15426,бРел
29,09:32:41,8.57,0.0,26,22282,бРел
30,09:32:50,8.57,0.009999999999999787,113,96841,бРел
31,09:32:59,8.57,0.009999999999999787,8,6856,бРел
32,09:33:12,8.57,0.0,9,7713,бРел
33,09:33:17,8.57,0.0,19,16283,бРел
