,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:49:12,2.35,-0.029999999999999805,3,705.0,买盘
1,09:50:27,2.34,-0.010000000000000231,40,9360.0,卖盘
2,09:51:12,2.32,-0.020000000000000018,112,26034.0,卖盘
3,09:55:03,2.32,0.0,8,1856.0,买盘
4,10:12:42,2.37,0.050000000000000266,140,33180.0,买盘
5,13:15:15,2.33,-0.040000000000000036,3,699.0,卖盘
6,13:17:06,2.33,0.0,3,699.0,买盘
7,13:19:48,2.33,0.0,29,6908.449999999997,买盘
8,13:54:24,2.34,0.009999999999999787,30,7020.0,卖盘
9,14:02:00,2.34,0.0,30,7020.0,买盘
10,14:12:42,2.34,0.0,69,16146.0,买盘
11,14:13:12,2.34,0.0,20,4680.0,买盘
12,14:15:27,2.34,0.0,41,9594.0,买盘
13,14:25:00,2.37,0.03000000000000025,1,237.0,买盘
14,14:34:03,2.37,0.0,10,2370.0,买盘
15,14:35:03,2.39,0.020000000000000018,492,117105.09999999999,买盘
16,14:38:24,2.34,-0.050000000000000266,1,234.0,卖盘
17,14:46:42,2.35,0.010000000000000231,2,470.0,卖盘
18,14:54:21,2.38,0.029999999999999805,1,238.0,买盘
19,15:00:06,2.38,0.0,1,238.0,买盘
