,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:05,6.56,-0.010000000000000675,17,11152,бРел
1,09:30:02,6.5,-0.05999999999999961,35,22800,бТел
2,09:30:08,6.53,0.03000000000000025,13,8494,бТел
3,09:30:15,6.52,-0.010000000000000675,1,652,бРел
4,09:30:20,6.52,0.0,10,6522,бТел
5,09:30:32,6.5,-0.019999999999999574,33,21465,бТел
6,09:30:45,6.51,0.009999999999999787,1,651,бТел
7,09:30:50,6.51,0.009999999999999787,1,651,бРел
8,09:30:55,6.51,0.0,1,651,бТел
9,09:30:59,6.51,0.0,1,651,бТел
10,09:31:05,6.51,0.0,23,14973,бРел
11,09:31:08,6.51,0.0,17,11067,бРел
12,09:31:15,6.51,0.0,5,3255,бРел
13,09:31:20,6.51,0.0,4,2604,бРел
14,09:31:23,6.51,0.0,1,651,бРел
15,09:31:38,6.51,0.0,36,23436,бРел
16,09:31:45,6.51,0.0,6,3906,бРел
17,09:31:51,6.51,0.0,44,28644,бТел
18,09:31:53,6.51,0.0,4,2604,бРел
19,09:32:02,6.51,0.0,1,651,бРел
20,09:32:15,6.5,-0.009999999999999787,20,13000,бТел
21,09:32:23,6.5,0.0,8,5200,бТел
22,09:32:29,6.5,0.0,7,4550,бТел
23,09:32:35,6.5,0.0,2,1300,бТел
24,09:32:50,6.5,0.0,15,9750,бТел
25,09:32:59,6.5,0.0,28,18200,бТел
26,09:33:05,6.5,0.0,20,13000,бРел
27,09:33:08,6.5,0.0,7,4550,бРел
28,09:33:15,6.5,0.0,20,13000,бТел
29,09:33:23,6.5,0.0,35,22750,бРел
30,09:33:41,6.5,0.0,1,650,бТел
31,09:33:45,6.51,0.009999999999999787,1,651,бРел
32,09:33:50,6.5,-0.009999999999999787,9,5850,бТел
33,09:33:53,6.51,0.009999999999999787,87,56637,бРел
34,09:34:02,6.51,0.009999999999999787,2,1302,бРел
35,09:34:11,6.5,-0.009999999999999787,80,52000,бТел
36,09:34:15,6.5,0.0,1,650,бТел
37,09:34:20,6.5,0.0,49,31850,бТел
38,09:34:26,6.49,-0.009999999999999787,62,40238,бТел
39,09:34:32,6.49,0.0,1,649,бТел
40,09:34:38,6.5,0.009999999999999787,25,16250,бРел
41,09:35:23,6.5,-0.009999999999999787,1,650,бТел
42,09:35:35,6.51,0.009999999999999787,1,651,бРел
43,09:35:47,6.51,0.0,14,9114,бРел
44,09:35:50,6.51,0.0,2,1302,бРел
45,09:35:53,6.51,0.0,4,2604,бРел
46,09:36:02,6.5,-0.009999999999999787,20,13000,бТел
47,09:36:08,6.51,0.009999999999999787,3,1953,бРел
48,09:36:15,6.51,0.009999999999999787,30,19505,бРел
49,09:36:29,6.51,0.0,45,29295,бРел
50,09:36:35,6.51,0.0,1,651,бРел
51,09:36:39,6.51,0.0,1,651,бРел
52,09:36:53,6.51,0.0,2,1302,бРел
53,09:36:59,6.51,0.0,5,3255,бРел
54,09:37:29,6.51,0.0,215,139712,бРел
55,09:37:47,6.5,-0.009999999999999787,1,650,бТел
56,09:37:53,6.5,0.0,3,1950,бТел
57,09:38:11,6.51,0.009999999999999787,20,13020,бРел
58,09:38:15,6.5,-0.009999999999999787,6,3900,бТел
59,09:38:26,6.5,0.0,6,3900,бТел
60,09:38:29,6.5,0.0,5,3250,бТел
61,09:38:41,6.5,0.0,1,650,бТел
62,09:39:05,6.5,0.0,20,13000,бТел
63,09:39:21,6.5,0.0,1,650,бТел
64,09:39:32,6.5,0.0,1,650,бТел
65,09:39:41,6.51,0.009999999999999787,6,3906,бРел
66,09:40:02,6.5,-0.009999999999999787,7,4550,бТел
67,09:40:11,6.51,0.009999999999999787,14,9114,бРел
68,09:40:41,6.5,-0.009999999999999787,6,3900,бТел
69,09:40:56,6.51,0.009999999999999787,1,651,бРел
70,09:40:59,6.5,-0.009999999999999787,2,1300,бТел
71,09:41:11,6.5,0.0,1,650,бТел
72,09:41:29,6.51,0.009999999999999787,15,9765,бРел
73,09:41:41,6.51,0.0,3,1953,бТел
74,09:41:47,6.51,0.0,14,9114,бРел
75,09:41:50,6.51,0.0,36,23436,бТел
76,09:42:26,6.52,0.009999999999999787,46,29992,бРел
77,09:42:59,6.52,0.0,3,1956,бРел
78,09:43:05,6.52,0.0,25,16300,бРел
79,09:43:11,6.52,0.0,4,2608,бРел
80,09:43:26,6.52,0.0,2,1304,бТел
81,09:43:39,6.51,-0.009999999999999787,16,10416,бТел
82,09:43:47,6.51,0.0,3,1953,бРел
83,09:44:32,6.5,-0.009999999999999787,1,650,бТел
84,09:45:11,6.5,0.0,5,3250,бТел
85,09:45:23,6.5,0.0,1,650,бТел
86,09:45:29,6.51,0.009999999999999787,16,10416,бРел
87,09:45:47,6.51,0.0,6,3906,бРел
88,09:45:50,6.51,0.0,1,651,бРел
89,09:45:53,6.5,-0.009999999999999787,31,20157,бТел
90,09:46:15,6.5,0.0,27,17550,бТел
