,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:03,4.74,-0.02999999999999936,593,281375.88,бРел
1,09:30:00,4.74,0.0,235,111390.0,бТел
2,09:30:03,4.75,0.009999999999999787,291,138434.0,жпптел
3,09:30:06,4.76,0.009999999999999787,98,46608.0,бРел
4,09:30:09,4.74,-0.019999999999999574,13,6165.0,бТел
5,09:30:12,4.74,0.0,20,9480.0,бТел
6,09:30:18,4.74,0.0,39,18486.0,бТел
7,09:30:21,4.75,0.009999999999999787,140,66836.26000000001,бРел
8,09:30:24,4.74,-0.009999999999999787,194,92057.0,бТел
9,09:30:27,4.75,0.009999999999999787,26,12331.0,бРел
10,09:30:36,4.74,-0.009999999999999787,3,1423.0,бТел
11,09:30:39,4.74,0.0,68,32237.0,бТел
12,09:30:42,4.74,0.0,134,63516.0,бТел
13,09:30:45,4.74,0.0,924,437986.9999999999,бТел
14,09:30:48,4.74,0.0,139,66070.8600000001,бТел
15,09:30:51,4.73,-0.009999999999999787,46,21758.0,бТел
16,09:31:00,4.72,-0.010000000000000675,50,23600.0,бТел
17,09:31:03,4.73,0.010000000000000675,4,1892.0,бРел
18,09:31:06,4.72,-0.010000000000000675,12,5664.0,жпптел
19,09:31:09,4.72,0.0,18,8496.0,бТел
20,09:31:15,4.72,0.0,126,59509.0,бРел
21,09:31:24,4.72,0.0,19,8968.0,бТел
22,09:31:27,4.72,0.0,35,16520.0,бТел
23,09:31:30,4.72,0.0,88,41536.0,бТел
24,09:31:36,4.72,0.0,120,56640.0,бТел
25,09:31:39,4.72,0.0,37,17464.0,бТел
26,09:31:42,4.72,0.0,151,71272.0,бТел
27,09:31:45,4.72,0.0,14,6608.0,бТел
28,09:31:48,4.72,0.0,186,88146.0,бТел
29,09:31:51,4.72,0.0,16,7552.0,бТел
30,09:31:54,4.72,0.0,22,10502.0,бТел
31,09:31:57,4.72,0.0,1,472.0,бРел
32,09:32:03,4.72,0.0,35,16489.0,бРел
33,09:32:06,4.72,0.0,27,12741.0,бРел
34,09:32:09,4.72,0.0,76,35846.0,бРел
35,09:32:12,4.72,0.0,25,11795.0,бРел
36,09:32:15,4.71,-0.009999999999999787,4,1884.0,бТел
37,09:32:21,4.71,0.0,21,9911.0,бТел
38,09:32:24,4.71,0.0,102,48143.0,бТел
39,09:32:30,4.71,0.0,216,101736.0,бТел
40,09:32:33,4.71,0.0,13,6123.0,бТел
41,09:32:36,4.71,0.0,174,81954.0,бТел
42,09:32:39,4.71,0.0,75,35325.0,бРел
43,09:32:42,4.7,-0.009999999999999787,9,4230.0,бТел
44,09:32:45,4.71,0.009999999999999787,59,27753.0,бРел
45,09:32:48,4.71,0.0,18,8478.0,бРел
46,09:32:51,4.7,-0.009999999999999787,39,18330.0,бТел
47,09:32:54,4.71,0.009999999999999787,5,2355.0,бРел
48,09:32:57,4.7,-0.009999999999999787,37,17390.0,бТел
49,09:33:06,4.7,0.0,15,7050.0,бТел
50,09:33:09,4.71,0.009999999999999787,38,17885.0,бРел
51,09:33:12,4.71,0.0,23,10833.0,бРел
52,09:33:18,4.71,0.0,45,21195.0,бРел
53,09:33:21,4.71,0.0,115,54165.0,бРел
54,09:33:24,4.71,0.0,100,47100.0,бРел
55,09:33:27,4.72,0.009999999999999787,297,140538.0,бРел
56,09:33:30,4.72,0.0,1,472.0,бТел
57,09:33:33,4.73,0.010000000000000675,105,49665.0,бРел
58,09:33:36,4.72,-0.010000000000000675,15,7086.0,бТел
59,09:33:45,4.73,0.010000000000000675,61,28838.0,бРел
60,09:33:51,4.73,0.0,4,1891.0,бРел
61,09:33:54,4.73,0.0,2,946.0,бРел
62,09:34:00,4.73,0.0,56,26488.0,бРел
63,09:34:09,4.72,-0.010000000000000675,33,15576.0,бТел
64,09:34:12,4.73,0.010000000000000675,27,12771.0,бРел
65,09:34:15,4.72,-0.010000000000000675,45,21240.0,бТел
66,09:34:18,4.72,0.0,751,354472.0,бТел
67,09:34:21,4.71,-0.009999999999999787,45,21329.0,бТел
68,09:34:24,4.71,0.0,186,87666.0,бТел
69,09:34:30,4.71,0.0,2,942.0,бРел
70,09:34:33,4.7,-0.009999999999999787,4,1880.0,бТел
71,09:34:42,4.71,0.009999999999999787,31,14581.0,бРел
72,09:34:45,4.71,0.0,4,2171.310000000056,бРел
73,09:34:54,4.71,0.0,20,9420.0,бТел
74,09:35:00,4.71,0.0,4,1884.0,бТел
75,09:35:03,4.71,0.0,51,24021.0,бТел
76,09:35:06,4.71,0.0,31,14601.0,бТел
77,09:35:24,4.72,0.009999999999999787,10,4720.0,бРел
78,09:35:27,4.71,-0.009999999999999787,266,125425.0,бТел
79,09:35:30,4.72,0.009999999999999787,32,15073.0,бРел
80,09:35:33,4.72,0.0,27,12724.0,бРел
81,09:35:39,4.72,0.0,20,9440.0,бРел
82,09:35:42,4.72,0.0,24,11327.0,бРел
83,09:35:48,4.73,0.010000000000000675,174,82302.0,бРел
84,09:35:51,4.73,0.0,1,473.0,бТел
85,09:36:00,4.75,0.019999999999999574,258,122387.0,бРел
86,09:36:03,4.75,0.0,102,48450.0,бТел
87,09:36:06,4.75,0.0,6,2850.0,бРел
88,09:36:12,4.74,-0.009999999999999787,5,2370.0,бТел
89,09:36:21,4.75,0.009999999999999787,3,1425.0,бТел
90,09:36:24,4.75,0.0,38,18050.0,бТел
91,09:36:30,4.76,0.009999999999999787,5,2380.0,бРел
92,09:36:33,4.75,-0.009999999999999787,21,9975.0,бТел
93,09:36:36,4.75,0.0,2,950.0,бТел
94,09:36:42,4.76,0.009999999999999787,1,476.0,бРел
95,09:37:06,4.76,0.0,25,11900.0,бРел
96,09:37:12,4.75,-0.009999999999999787,78,37050.0,бТел
97,09:37:15,4.75,0.0,3,1425.0,бРел
98,09:37:27,4.75,0.0,40,19000.0,бРел
99,09:37:30,4.75,0.0,29,13775.0,бТел
100,09:37:33,4.75,0.0,33,15675.0,бТел
101,09:37:36,4.75,0.0,20,9500.0,бРел
102,09:37:39,4.75,0.0,150,71250.0,бРел
103,09:37:42,4.75,0.0,82,38950.0,бРел
104,09:37:45,4.75,0.0,31,14782.0,бРел
105,09:37:51,4.75,0.0,30,14250.0,бТел
106,09:37:54,4.75,0.0,50,23750.0,бТел
107,09:37:57,4.75,0.0,209,99693.0,бТел
108,09:38:06,4.75,0.0,8,3800.0,бРел
109,09:38:09,4.75,0.0,0,57.0,бРел
110,09:38:12,4.75,0.0,40,19418.0,бТел
111,09:38:18,4.75,0.0,120,57000.0,бРел
112,09:38:21,4.75,0.0,42,20006.999999999534,бРел
113,09:38:24,4.75,0.0,58,27968.0,бТел
114,09:38:27,4.75,0.0,2,1007.0,бРел
115,09:38:30,4.75,0.0,11,5643.0,бТел
116,09:38:39,4.75,0.0,4,1900.0,бРел
117,09:38:42,4.75,0.0,30,14307.0,бРел
118,09:38:54,4.74,-0.009999999999999787,7,3323.8800000008196,бТел
119,09:39:06,4.75,0.009999999999999787,5,2375.0,бТел
120,09:39:27,4.74,-0.009999999999999787,353,167764.11999999918,бТел
121,09:39:30,4.74,0.0,18,8532.0,бРел
122,09:39:33,4.74,0.0,375,177750.0,бРел
123,09:39:36,4.73,-0.009999999999999787,60,28414.0,бТел
124,09:39:39,4.73,0.0,17,8048.0,бТел
125,09:39:42,4.74,0.009999999999999787,32,15168.0,бРел
126,09:39:45,4.74,0.0,8,3792.0,бРел
127,09:39:48,4.74,0.0,17,8058.0,бРел
128,09:39:54,4.74,0.0,51,24174.0,бРел
129,09:39:57,4.74,0.0,16,7584.0,бРел
130,09:40:00,4.74,0.0,162,76844.88000000082,бРел
131,09:40:09,4.75,0.009999999999999787,10,4750.0,бРел
132,09:40:12,4.74,-0.009999999999999787,43,20415.0,бТел
133,09:40:18,4.74,0.0,157,74418.0,бТел
134,09:40:21,4.75,0.009999999999999787,66,31305.0,бРел
135,09:40:27,4.76,0.009999999999999787,89,42285.0,бРел
136,09:40:33,4.74,-0.019999999999999574,2,948.0,бТел
137,09:40:39,4.74,0.0,9,4266.0,бТел
138,09:40:42,4.74,0.0,100,47400.0,бТел
139,09:40:54,4.74,0.0,5,2370.0,бТел
140,09:40:57,4.75,0.009999999999999787,94,44650.0,бРел
141,09:41:00,4.75,0.0,30,14250.0,бРел
142,09:41:06,4.74,-0.009999999999999787,27,12798.0,бТел
143,09:41:09,4.74,0.0,38,18012.0,бТел
144,09:41:18,4.75,0.009999999999999787,259,122801.0,бРел
145,09:41:21,4.75,0.0,15,7116.0,бРел
146,09:41:24,4.74,-0.009999999999999787,3,1422.0,бРел
147,09:41:27,4.74,0.0,9,4266.0,бТел
148,09:41:33,4.74,0.0,20,9480.0,бРел
149,09:41:36,4.74,0.0,93,43998.0,жпптел
150,09:41:39,4.74,0.0,4,1896.0,бРел
151,09:41:45,4.74,0.0,1,474.0,бРел
152,09:41:48,4.74,0.0,43,20382.0,бРел
153,09:41:54,4.74,0.0,1,474.0,бРел
