,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:07,21.85,0.07000000000000028,171,373635,бРел
1,09:30:01,21.84,-0.010000000000001563,2,4368,бТел
2,09:30:05,21.8,-0.03999999999999915,90,196242,бТел
3,09:30:10,21.78,0.0,54,117618,бТел
4,09:30:17,21.8,0.010000000000001563,16,34857,бРел
5,09:30:23,21.79,-0.010000000000001563,55,119845,бТел
6,09:30:25,21.8,0.010000000000001563,68,148149,бРел
7,09:30:31,21.79,0.0,8,17425,бРел
8,09:30:35,21.78,-0.00999999999999801,7,15247,бТел
9,09:30:40,21.79,0.00999999999999801,3,6536,бРел
10,09:30:46,21.78,0.0,3,6534,бТел
11,09:30:52,21.79,0.00999999999999801,11,23993,бРел
12,09:30:55,21.82,0.030000000000001137,37,80674,бРел
13,09:31:01,21.83,0.0,4,8732,бРел
14,09:31:05,21.8,-0.029999999999997584,19,41471,бТел
15,09:31:11,21.84,0.03999999999999915,14,30528,бРел
16,09:31:17,21.84,0.010000000000001563,28,61132,бРел
17,09:31:23,21.84,0.0,17,37128,бРел
18,09:31:25,21.83,-0.010000000000001563,13,28349,жпптел
19,09:31:35,21.8,-0.029999999999997584,7,15266,бТел
20,09:31:41,21.83,0.029999999999997584,3,6549,бРел
21,09:31:49,21.8,0.0,2,4360,бТел
22,09:31:52,21.82,0.019999999999999574,2,4364,жпптел
23,09:31:55,21.82,0.0,22,48017,бТел
24,09:32:01,21.82,-0.00999999999999801,14,30560,бТел
25,09:32:05,21.82,0.0,21,45829,бТел
26,09:32:10,21.83,0.00999999999999801,11,24004,бРел
27,09:32:17,21.8,-0.019999999999999574,41,89380,бТел
28,09:32:23,21.82,0.0,10,21820,бРел
29,09:32:25,21.83,0.00999999999999801,1,2183,бРел
30,09:32:31,21.83,0.0,14,30562,бРел
31,09:32:35,21.82,-0.00999999999999801,42,91671,бТел
32,09:32:40,21.83,0.0,7,15281,бРел
33,09:32:52,21.83,0.00999999999999801,4,8732,бРел
34,09:32:58,21.83,0.0,6,13097,бРел
35,09:33:01,21.83,0.0,4,8732,бРел
36,09:33:05,21.83,0.0,3,6549,бРел
37,09:33:10,21.84,0.010000000000001563,23,50201,бРел
38,09:33:16,21.82,0.0,2,4365,бТел
39,09:33:22,21.83,0.00999999999999801,19,41460,бРел
40,09:33:25,21.85,0.020000000000003126,104,227189,бРел
41,09:33:31,21.82,0.0,1,2182,бРел
42,09:33:37,21.8,-0.019999999999999574,67,146064,бТел
43,09:33:43,21.8,0.0,87,189661,бТел
44,09:33:46,21.8,0.0,1,2180,бТел
45,09:33:55,21.79,-0.010000000000001563,2,4358,бТел
46,09:34:05,21.79,0.0,3,6536,бРел
47,09:34:10,21.81,0.029999999999997584,11,23991,бРел
48,09:34:19,21.78,0.0,10,21802,бТел
49,09:34:22,21.8,0.019999999999999574,6,13080,бРел
50,09:34:28,21.8,0.0,5,10900,бРел
51,09:34:31,21.8,0.0,4,8720,бРел
52,09:34:35,21.79,-0.010000000000001563,5,10899,бТел
53,09:34:43,21.79,0.0,12,26148,бРел
54,09:34:46,21.8,0.010000000000001563,11,23977,бРел
55,09:34:53,21.8,0.019999999999999574,8,17440,бРел
56,09:34:55,21.8,0.0,13,28338,бРел
57,09:35:01,21.8,0.0,16,34880,бРел
58,09:35:05,21.8,0.0,12,26157,бРел
59,09:35:10,21.8,0.010000000000001563,40,87190,бРел
60,09:35:16,21.8,0.0,26,56680,бРел
61,09:35:23,21.81,0.00999999999999801,6,13085,бРел
62,09:35:25,21.81,0.0,23,50152,бРел
63,09:35:31,21.82,0.010000000000001563,3,6546,бРел
