,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:59:33,1.74,-0.010000000000000009,144,25056.0,卖盘
1,10:14:39,1.75,0.010000000000000009,1,175.0,买盘
2,10:16:33,1.75,0.0,87,15225.0,买盘
3,10:24:39,1.75,0.0,25,4375.0,买盘
4,10:42:42,1.75,0.0,1,175.0,买盘
5,10:45:42,1.74,-0.010000000000000009,56,9744.0,卖盘
6,10:48:27,1.74,0.0,13,2262.0,买盘
7,10:50:57,1.74,0.0,7,1218.0,买盘
8,11:02:27,1.74,0.0,4,696.0,买盘
9,11:26:24,1.74,0.0,2,368.8799999999974,卖盘
10,11:29:48,1.75,0.010000000000000009,15,2625.0,买盘
11,13:00:09,1.74,-0.010000000000000009,23,4002.0000000000073,卖盘
12,13:46:24,1.74,0.0,25,4350.0,卖盘
13,14:13:09,1.77,0.030000000000000027,326,57340.72,买盘
14,14:39:39,1.76,-0.010000000000000009,100,17600.0,买盘
15,14:48:24,1.76,0.0,13,2288.0,买盘
