,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,10:05:09,2.93,-0.009999999999999787,31,9083,买盘
1,10:05:36,2.94,0.009999999999999787,20,5880,买盘
2,10:17:18,2.94,0.0,1,294,买盘
3,11:09:15,2.92,-0.020000000000000018,20,5840,卖盘
4,11:16:51,2.92,0.0,10,2920,买盘
5,14:05:51,2.87,-0.04999999999999982,20,5740,卖盘
6,14:06:12,2.86,-0.010000000000000231,42,12012,卖盘
7,14:07:57,2.91,0.050000000000000266,17,4947,买盘
8,14:10:09,2.88,-0.03000000000000025,100,28800,卖盘
9,14:13:33,2.92,0.040000000000000036,5,1456,买盘
10,14:16:24,2.87,-0.04999999999999982,453,130071,卖盘
11,14:19:12,2.92,0.04999999999999982,1,292,买盘
12,14:50:09,2.86,-0.06000000000000005,10,2860,卖盘
13,14:52:48,2.91,0.050000000000000266,20,5820,买盘
14,14:53:09,2.92,0.009999999999999787,14,4088,买盘
15,14:53:27,2.91,-0.009999999999999787,3,873,卖盘
16,14:53:54,2.93,0.020000000000000018,10,2916,买盘
17,14:54:30,2.93,0.0,3,879,买盘
18,14:55:06,2.93,0.0,5,1465,买盘
19,15:00:03,2.93,0.0,1,293,买盘
