,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:25:03,1.92,0.0,1,192.0,买盘
1,10:01:51,1.92,0.0,36,6912.0,买盘
2,10:22:36,1.9,-0.020000000000000018,86,16340.0,卖盘
3,11:22:27,1.92,0.020000000000000018,3,576.0,买盘
4,11:26:00,1.91,-0.010000000000000009,38,7258.0,卖盘
5,13:52:00,1.91,0.0,72,13752.0,买盘
6,13:55:09,1.91,0.0,7,1337.0,买盘
7,13:59:18,1.9,-0.010000000000000009,218,41420.0,卖盘
8,14:00:15,1.92,0.020000000000000018,174,33425.399999999994,买盘
9,14:00:33,1.93,0.010000000000000009,1,193.0,买盘
10,14:01:24,1.92,-0.010000000000000009,40,7833.600000000006,卖盘
11,14:23:06,1.91,-0.010000000000000009,50,9550.0,卖盘
12,14:31:39,1.91,0.0,7,1337.0,卖盘
13,14:32:12,1.9,-0.010000000000000009,32,6080.0,卖盘
14,14:40:12,1.91,0.010000000000000009,41,7831.0,买盘
15,14:45:45,1.9,-0.010000000000000009,1,190.0,卖盘
16,14:48:42,1.9,0.0,222,42180.0,卖盘
17,14:49:15,1.91,0.010000000000000009,52,9932.0,买盘
18,14:49:42,1.92,0.010000000000000009,141,27110.399999999994,买盘
19,14:50:03,1.93,0.010000000000000009,1,193.0,买盘
20,14:51:33,1.92,-0.010000000000000009,30,5760.0,卖盘
21,14:52:57,1.93,0.010000000000000009,8,1544.0,买盘
22,14:53:48,1.91,-0.020000000000000018,60,11641.600000000006,卖盘
23,14:54:30,1.93,0.020000000000000018,3,579.0,买盘
