,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:30:03,2.98,-0.010000000000000231,20,5960,卖盘
1,09:30:06,2.98,0.0,9,2682,买盘
2,09:40:21,2.96,-0.020000000000000018,20,5920,卖盘
3,09:44:54,2.98,0.020000000000000018,10,2980,买盘
4,09:46:42,2.98,0.0,3,894,买盘
5,09:59:30,2.96,-0.020000000000000018,50,14800,卖盘
6,09:59:51,2.98,0.020000000000000018,58,17284,买盘
7,10:02:00,2.98,0.0,30,8940,卖盘
8,10:22:00,2.98,0.0,12,3576,卖盘
9,10:35:54,2.96,-0.020000000000000018,60,17760,卖盘
10,10:40:18,2.96,0.0,48,14208,卖盘
11,10:57:30,2.94,-0.020000000000000018,7,2058,卖盘
12,11:19:57,2.96,0.020000000000000018,2,592,买盘
13,13:18:12,2.92,-0.040000000000000036,168,49246,卖盘
14,13:26:21,2.98,0.06000000000000005,24,7152,买盘
15,13:27:03,2.98,0.0,30,8940,卖盘
16,13:27:30,2.98,0.0,5,1490,卖盘
17,13:37:33,2.95,-0.029999999999999805,35,10325,卖盘
18,14:38:30,2.95,0.0,5,1475,卖盘
19,14:42:12,2.95,0.0,2,590,买盘
