,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:30:18,5.59,0.10999999999999943,67,37392.2,买盘
1,09:47:45,5.55,-0.040000000000000036,2,1110.0,买盘
2,11:03:06,5.44,-0.10999999999999943,1,544.0,卖盘
3,11:06:57,5.44,0.0,20,10880.0,卖盘
4,11:15:21,5.45,0.009999999999999787,10,5450.0,卖盘
5,11:23:30,5.45,0.0,4,2370.75,卖盘
6,13:03:12,5.45,0.0,5,3079.25,卖盘
7,13:10:57,5.43,-0.020000000000000462,20,10860.0,买盘
8,13:38:30,5.44,0.010000000000000675,2,1088.0,买盘
9,14:24:36,5.43,-0.010000000000000675,1,543.0,卖盘
10,14:33:42,5.43,0.0,5,2715.0,买盘
11,14:53:30,5.43,0.0,17,9421.050000000003,买盘
12,15:00:06,5.48,0.05000000000000071,1,548.0,买盘
