,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:55:39,2.26,-0.040000000000000036,20,4520.0,卖盘
1,10:08:33,2.25,-0.009999999999999787,275,61945.0,卖盘
2,10:09:00,2.25,0.0,188,42300.0,买盘
3,10:16:57,2.26,0.009999999999999787,5,1130.0,卖盘
4,10:30:39,2.26,0.0,100,22600.0,卖盘
5,10:43:09,2.26,0.0,3,678.0,卖盘
6,11:17:06,2.25,-0.009999999999999787,196,44100.0,卖盘
7,11:18:24,2.25,0.0,12,2700.0,买盘
8,11:18:27,2.25,0.0,19,4275.0,买盘
9,13:11:42,2.26,0.009999999999999787,2,452.0,买盘
10,13:29:48,2.25,-0.009999999999999787,80,18197.0,卖盘
11,13:43:42,2.25,0.0,0,45.0,卖盘
12,13:49:21,2.24,-0.009999999999999787,2,448.0,卖盘
13,13:55:21,2.23,-0.010000000000000231,1,223.0,卖盘
14,14:06:15,2.24,0.010000000000000231,50,11200.0,买盘
15,14:07:57,2.24,0.0,48,10752.0,买盘
16,14:35:51,2.23,-0.010000000000000231,74,16502.0,卖盘
17,14:39:03,2.22,-0.009999999999999787,1,222.0,卖盘
18,14:39:51,2.23,0.009999999999999787,8,1784.0,买盘
19,14:43:03,2.22,-0.009999999999999787,1,222.0,卖盘
20,14:45:24,2.22,0.0,31,6882.0,卖盘
21,14:46:12,2.22,0.0,0,195.35999999998603,卖盘
22,14:55:09,2.23,0.009999999999999787,34,7582.0,买盘
