,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:03,60.91,0.0,81,493371.0,бРел
1,09:30:09,60.92,0.010000000000005116,87,529960.0,жпптел
2,09:30:12,60.89,-0.030000000000001137,2,12178.0,жпптел
3,09:30:15,60.86,-0.030000000000001137,1,6086.0,жпптел
4,09:30:18,60.8,-0.060000000000002274,4,24320.0,бТел
5,09:30:21,60.8,0.0,18,109440.0,бТел
6,09:30:24,60.74,-0.05999999999999517,1,6074.0,бРел
7,09:30:27,60.7,-0.03999999999999915,16,97072.0,бТел
8,09:30:33,60.66,-0.04000000000000625,3,18198.0,бТел
9,09:30:39,60.66,0.0,2,12132.0,бРел
10,09:30:42,60.6,-0.05999999999999517,3,18180.0,бТел
11,09:30:45,60.5,-0.10000000000000142,2,12110.0,бТел
12,09:30:51,60.5,0.0,1,6050.0,бТел
13,09:30:57,60.55,0.04999999999999716,13,78688.0,бРел
14,09:31:00,60.55,0.0,8,48427.0,бРел
15,09:31:06,60.51,-0.03999999999999915,12,72645.0,жпптел
16,09:31:12,60.57,0.060000000000002274,6,36367.0,жпптел
17,09:31:15,60.53,-0.03999999999999915,6,36320.0,бТел
18,09:31:18,60.53,0.0,1,6053.0,бРел
19,09:31:21,60.5,-0.030000000000001137,5,30259.0,бТел
20,09:31:33,60.56,0.060000000000002274,5,30279.0,бРел
21,09:31:36,60.56,0.0,2,12112.0,бТел
22,09:31:39,60.63,0.07000000000000028,4,24258.0,бРел
23,09:31:45,60.65,0.01999999999999602,1,6065.0,бРел
24,09:31:48,60.64,-0.00999999999999801,1,6064.0,жпптел
25,09:31:51,60.56,-0.0799999999999983,17,103015.0,бТел
26,09:32:00,60.7,0.14000000000000057,9,54605.0,бРел
27,09:32:06,60.7,0.0,25,151744.0,бТел
28,09:32:12,60.64,-0.060000000000002274,4,24256.0,бТел
29,09:32:15,60.64,0.0,2,12128.0,бТел
30,09:32:21,60.64,0.0,1,6064.0,бРел
31,09:32:24,60.7,0.060000000000002274,7,42457.0,бРел
32,09:32:27,60.56,-0.14000000000000057,7,42401.0,бТел
33,09:32:30,60.58,0.01999999999999602,11,66630.0,бРел
34,09:32:33,60.65,0.07000000000000028,8,48520.0,жпптел
35,09:32:36,60.7,0.05000000000000426,12,72835.0,бРел
36,09:32:39,61.0,0.29999999999999716,35,213324.0,бРел
37,09:32:45,61.0,0.0,4,24400.0,бТел
38,09:32:48,61.0,0.0,3,18300.0,бТел
39,09:32:51,61.0,0.0,8,48800.0,бТел
40,09:32:54,61.11,0.10999999999999943,16,97754.0,бРел
