,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:33:45,1.11,-0.019999999999999796,24,2664.0,卖盘
1,09:50:54,1.11,0.0,31,3441.0,卖盘
2,10:06:15,1.11,0.0,1,111.0,卖盘
3,10:08:42,1.11,0.0,18,1998.0,卖盘
4,10:10:36,1.1,-0.010000000000000009,182,20020.0,卖盘
5,10:37:06,1.13,0.029999999999999805,120,13560.0,买盘
6,10:59:27,1.11,-0.019999999999999796,82,9102.0,卖盘
7,11:18:36,1.11,0.0,2,222.0,买盘
8,11:27:48,1.11,0.0,20,2220.0,买盘
9,14:05:15,1.11,0.0,114,12654.0,买盘
10,14:40:24,1.1,-0.010000000000000009,20,2200.0,卖盘
11,14:55:36,1.1,0.0,266,29279.800000000003,卖盘
12,15:00:06,1.11,0.010000000000000009,2,222.0,卖盘
