,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:41:24,2.32,0.040000000000000036,10,2320.0,买盘
1,09:55:27,2.27,-0.04999999999999982,32,7264.0,卖盘
2,09:55:51,2.27,0.0,22,4994.0,买盘
3,09:59:00,2.26,-0.010000000000000231,51,11749.740000000002,卖盘
4,11:09:09,2.26,0.0,397,90063.26,卖盘
5,11:14:15,2.24,-0.019999999999999574,322,72400.0,卖盘
6,11:14:48,2.24,0.0,381,85344.0,买盘
7,11:15:15,2.24,0.0,30,6720.0,买盘
8,11:15:21,2.24,0.0,94,21221.76000000001,买盘
9,11:25:51,2.29,0.04999999999999982,1,229.0,买盘
10,15:00:03,2.28,-0.010000000000000231,2,456.0,卖盘
