,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:30:12,2.9,-0.07000000000000028,10,2900,卖盘
1,09:33:39,3.02,0.1200000000000001,30,9060,买盘
2,10:05:33,3.0,-0.020000000000000018,17,5100,买盘
3,10:15:54,3.0,0.0,20,6000,卖盘
4,10:16:57,3.0,0.0,47,14100,卖盘
5,10:17:15,3.0,0.0,10,3000,卖盘
6,10:17:51,3.0,0.0,140,42000,卖盘
7,10:18:15,3.0,0.0,30,9000,卖盘
8,10:18:54,3.0,0.0,22,6600,卖盘
9,10:23:30,3.0,0.0,6,1800,买盘
10,11:24:06,2.96,-0.040000000000000036,10,2960,卖盘
11,14:30:33,2.92,-0.040000000000000036,38,11104,卖盘
12,14:32:36,2.92,0.0,61,17812,买盘
13,14:50:12,2.91,-0.009999999999999787,20,5820,卖盘
14,15:00:06,2.96,0.04999999999999982,1,296,买盘
