,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:30:06,4.39,-0.010000000000000675,130,57070,бРел
1,09:30:15,4.39,0.0,50,21950,бРел
2,09:30:24,4.39,0.0,530,232670,бТел
3,09:30:42,4.39,0.0,30,13199,бТел
4,09:30:45,4.4,0.010000000000000675,293,128920,бРел
5,09:30:57,4.45,0.04999999999999982,1003,445763,бРел
6,09:31:09,4.41,-0.040000000000000036,1,441,бТел
7,09:32:09,4.42,0.009999999999999787,52,23005,бТел
8,09:32:27,4.43,0.009999999999999787,5,2215,бРел
9,09:32:33,4.43,0.0,7,3101,бРел
10,09:32:39,4.43,0.0,10,4430,бТел
11,09:32:45,4.43,0.0,22,9746,бРел
12,09:32:48,4.42,-0.009999999999999787,173,76492,бТел
13,09:32:51,4.42,0.0,34,15028,бРел
14,09:32:57,4.42,0.0,5,2210,бРел
15,09:33:06,4.41,-0.009999999999999787,280,123480,бТел
16,09:33:09,4.41,0.0,56,24696,бРел
17,09:33:21,4.41,0.0,24,10584,бТел
18,09:33:48,4.41,0.0,33,14553,бРел
19,09:34:03,4.41,0.0,24,10584,бРел
20,09:34:12,4.41,0.0,280,123480,бРел
21,09:34:15,4.41,0.0,54,23814,бРел
22,09:34:27,4.41,0.0,10,4410,бТел
23,09:34:33,4.43,0.019999999999999574,178,78854,бРел
24,09:34:39,4.43,0.0,67,29681,бРел
25,09:34:45,4.43,0.0,18,7974,бТел
26,09:34:48,4.43,0.0,115,50945,бТел
27,09:35:09,4.43,0.0,156,69108,бРел
28,09:35:18,4.43,0.0,2,886,бРел
29,09:35:21,4.43,0.0,25,11075,бРел
30,09:35:27,4.45,0.020000000000000462,500,222288,бРел
31,09:35:36,4.45,0.0,77,34265,бРел
32,09:35:45,4.44,-0.009999999999999787,10,4440,жпптел
33,09:35:48,4.43,-0.010000000000000675,20,8860,бРел
34,09:35:54,4.45,0.020000000000000462,200,88900,бРел
35,09:36:00,4.43,-0.020000000000000462,15,6645,бТел
36,09:36:21,4.44,0.010000000000000675,2,888,бРел
37,09:36:33,4.43,-0.010000000000000675,79,34997,бТел
38,09:36:36,4.43,0.0,100,44300,бТел
39,09:36:48,4.43,0.0,45,19935,бТел
40,09:36:57,4.43,0.0,63,27909,бТел
41,09:37:03,4.43,0.0,13,5759,бТел
42,09:37:06,4.43,0.0,30,13290,бТел
43,09:37:21,4.43,0.0,10,4430,бТел
44,09:37:27,4.43,0.0,30,13290,бТел
45,09:37:33,4.44,0.010000000000000675,31,13744,бРел
46,09:37:39,4.43,-0.010000000000000675,5,2215,бТел
47,09:37:51,4.42,-0.009999999999999787,245,108290,бТел
48,09:38:15,4.42,0.0,24,10608,бРел
49,09:38:24,4.42,0.0,215,95030,бРел
50,09:38:39,4.41,-0.009999999999999787,295,130095,бТел
51,09:38:42,4.41,0.0,85,37485,бТел
52,09:38:45,4.42,0.009999999999999787,58,25636,бРел
53,09:38:54,4.41,-0.009999999999999787,20,8820,бТел
54,09:39:03,4.41,0.0,150,66150,бТел
55,09:39:06,4.41,0.0,43,18963,бТел
56,09:39:18,4.41,0.0,24,10584,бРел
57,09:39:24,4.41,0.0,100,44100,бРел
58,09:39:27,4.41,0.0,24,10584,бРел
