,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:39:18,2.16,-0.020000000000000018,28,6048.0,卖盘
1,09:46:33,2.2,0.040000000000000036,4,880.0,买盘
2,10:04:54,2.18,-0.020000000000000018,1,218.0,卖盘
3,10:05:57,2.16,-0.020000000000000018,6,1296.0,卖盘
4,10:55:45,2.16,0.0,101,21880.0,卖盘
5,13:33:21,2.17,0.009999999999999787,15,3255.0,卖盘
6,13:34:27,2.17,0.0,3,651.0,卖盘
7,13:42:00,2.16,-0.009999999999999787,97,20952.0,卖盘
8,13:42:06,2.16,0.0,79,17064.0,卖盘
9,13:48:36,2.16,0.0,100,21600.0,买盘
10,13:49:06,2.16,0.0,20,4320.0,买盘
11,13:50:48,2.16,0.0,1,216.0,买盘
12,13:57:33,2.18,0.020000000000000018,20,4360.0,卖盘
13,14:09:12,2.18,0.0,20,4360.0,卖盘
14,14:24:30,2.18,0.0,1,355.3399999999965,卖盘
15,14:28:09,2.18,0.0,7,1526.0,卖盘
